iterator,pi Value
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,6.0
35,6.0
36,6.0
37,6.0
38,6.0
39,7.0
40,8.0
41,8.0
42,8.0
43,4.0
44,4.0
45,4.0
46,4.0
47,4.0
48,4.0
49,2.6666666666666665
50,2.6666666666666665
51,3.0
52,3.0
53,3.3333333333333335
54,3.3333333333333335
55,3.6666666666666665
56,3.6666666666666665
57,4.0
58,4.0
59,4.0
60,4.333333333333333
61,4.333333333333333
62,4.333333333333333
63,4.333333333333333
64,4.333333333333333
65,4.333333333333333
66,4.333333333333333
67,4.333333333333333
68,4.333333333333333
69,4.333333333333333
70,4.333333333333333
71,4.333333333333333
72,4.666666666666667
73,4.666666666666667
74,4.666666666666667
75,5.0
76,5.0
77,5.333333333333333
78,5.666666666666667
79,6.0
80,6.0
81,6.0
82,6.0
83,6.0
84,6.333333333333333
85,6.666666666666667
86,5.0
87,5.0
88,5.0
89,5.0
90,5.0
91,5.0
92,5.25
93,5.25
94,5.25
95,5.25
96,5.25
97,5.25
98,5.25
99,5.5
100,5.75
101,6.0
102,6.25
103,6.25
104,6.25
105,6.5
106,6.5
107,6.5
108,6.5
109,6.5
110,6.5
111,6.5
112,6.5
113,6.5
114,6.5
115,6.5
116,6.5
117,6.5
118,6.5
119,6.5
120,5.2
121,5.2
122,5.2
123,5.4
124,5.4
125,5.6
126,5.6
127,5.6
128,5.6
129,5.6
130,5.6
131,5.6
132,5.6
133,5.6
134,5.6
135,5.6
136,5.6
137,5.6
138,5.6
139,5.6
140,5.6
141,5.6
142,5.6
143,5.6
144,5.6
145,5.6
146,5.6
147,5.6
148,5.6
149,5.6
150,5.8
151,5.8
152,5.8
153,5.8
154,5.8
155,5.8
156,5.8
157,5.8
158,5.8
159,4.833333333333333
160,4.833333333333333
161,4.833333333333333
162,4.833333333333333
163,4.833333333333333
164,5.0
165,5.0
166,5.0
167,5.166666666666667
168,5.166666666666667
169,5.166666666666667
170,5.166666666666667
171,5.166666666666667
172,5.166666666666667
173,5.166666666666667
174,5.166666666666667
175,5.166666666666667
176,5.166666666666667
177,5.166666666666667
178,5.166666666666667
179,5.166666666666667
180,5.166666666666667
181,5.166666666666667
182,5.166666666666667
183,5.166666666666667
184,5.166666666666667
185,5.166666666666667
186,5.166666666666667
187,4.428571428571429
188,4.571428571428571
189,4.571428571428571
190,4.571428571428571
191,4.571428571428571
192,4.571428571428571
193,4.714285714285714
194,4.714285714285714
195,4.714285714285714
196,4.714285714285714
197,4.857142857142857
198,5.0
199,5.0
200,5.0
201,5.0
202,5.0
203,4.375
204,4.375
205,4.375
206,4.375
207,4.375
208,3.888888888888889
209,4.0
210,4.0
211,4.0
212,4.0
213,4.0
214,4.111111111111111
215,4.111111111111111
216,4.111111111111111
217,4.222222222222222
218,4.222222222222222
219,4.333333333333333
220,4.333333333333333
221,4.444444444444445
222,4.444444444444445
223,4.0
224,4.1
225,4.1
226,4.2
227,4.2
228,4.2
229,4.2
230,4.2
231,4.2
232,4.3
233,4.3
234,4.3
235,4.3
236,4.3
237,4.3
238,4.4
239,4.5
240,4.6
241,4.7
242,4.7
243,4.2727272727272725
244,4.2727272727272725
245,4.363636363636363
246,4.363636363636363
247,4.363636363636363
248,4.363636363636363
249,4.454545454545454
250,4.454545454545454
251,4.454545454545454
252,4.454545454545454
253,4.454545454545454
254,4.545454545454546
255,4.545454545454546
256,4.545454545454546
257,4.636363636363637
258,4.7272727272727275
259,4.7272727272727275
260,4.7272727272727275
261,4.7272727272727275
262,4.7272727272727275
263,4.7272727272727275
264,4.7272727272727275
265,4.7272727272727275
266,4.7272727272727275
267,4.7272727272727275
268,4.7272727272727275
269,4.818181818181818
270,4.818181818181818
271,4.818181818181818
272,4.818181818181818
273,4.818181818181818
274,4.909090909090909
275,5.0
276,5.090909090909091
277,5.090909090909091
278,5.090909090909091
279,5.090909090909091
280,4.666666666666667
281,4.666666666666667
282,4.3076923076923075
283,4.384615384615385
284,4.384615384615385
285,4.384615384615385
