iterator,pi Value
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,5.0
24,5.0
25,5.0
26,2.5
27,2.5
28,2.5
29,2.5
30,1.6666666666666667
31,1.6666666666666667
32,1.6666666666666667
33,1.6666666666666667
34,1.6666666666666667
35,1.6666666666666667
36,1.6666666666666667
37,1.6666666666666667
38,2.0
39,2.0
40,2.0
41,2.0
42,2.0
43,2.0
44,2.0
45,2.0
46,2.0
47,2.3333333333333335
48,2.6666666666666665
49,2.6666666666666665
50,2.6666666666666665
51,2.6666666666666665
52,3.0
53,3.0
54,3.0
55,2.25
56,2.25
57,2.25
58,2.25
59,1.8
60,2.0
61,2.0
62,2.0
63,2.0
64,2.2
65,2.4
66,2.4
67,2.6
68,2.8
69,2.8
70,2.8
71,2.8
72,2.3333333333333335
73,2.3333333333333335
74,2.3333333333333335
75,2.3333333333333335
76,2.5
77,2.5
78,2.6666666666666665
79,2.6666666666666665
80,2.6666666666666665
81,2.8333333333333335
82,2.8333333333333335
83,3.0
84,2.5714285714285716
85,2.5714285714285716
86,2.5714285714285716
87,2.5714285714285716
88,2.5714285714285716
89,2.5714285714285716
90,2.5714285714285716
91,2.5714285714285716
92,2.5714285714285716
93,2.5714285714285716
94,2.5714285714285716
95,2.5714285714285716
96,2.5714285714285716
97,2.5714285714285716
98,2.5714285714285716
99,2.5714285714285716
100,2.5714285714285716
101,2.7142857142857144
102,2.857142857142857
103,2.857142857142857
104,3.0
105,3.0
106,3.0
107,3.0
108,3.0
109,3.0
110,3.0
111,3.0
112,3.0
113,3.0
114,3.0
115,3.0
116,3.142857142857143
117,2.75
118,2.75
119,2.75
120,2.75
121,2.75
122,2.75
123,2.75
124,2.75
125,2.75
126,2.75
127,2.75
128,2.875
129,3.0
130,3.0
131,3.0
132,3.0
133,3.125
134,3.125
135,3.125
136,3.125
137,3.25
138,3.25
139,3.375
140,3.5
141,3.5
142,3.5
143,3.625
144,3.625
145,3.625
146,3.625
147,3.625
148,3.2222222222222223
149,3.3333333333333335
150,3.0
151,3.0
152,3.0
153,3.0
154,3.0
155,3.1
156,3.1
157,3.2
158,2.909090909090909
159,3.0
160,3.0
161,3.0
162,3.0
163,3.0
164,3.0
165,3.090909090909091
166,3.1818181818181817
167,3.272727272727273
168,3.272727272727273
169,3.3636363636363638
170,3.4545454545454546
171,3.4545454545454546
172,3.4545454545454546
173,3.1666666666666665
174,3.25
175,3.3333333333333335
176,3.3333333333333335
177,3.4166666666666665
178,3.4166666666666665
179,3.4166666666666665
180,3.4166666666666665
181,3.4166666666666665
182,3.4166666666666665
183,3.4166666666666665
184,3.1538461538461537
185,3.1538461538461537
186,3.1538461538461537
187,3.1538461538461537
188,3.230769230769231
189,3.230769230769231
190,3.230769230769231
191,3.3076923076923075
192,3.3076923076923075
193,3.3076923076923075
194,3.3076923076923075
195,3.3846153846153846
196,3.3846153846153846
197,3.3846153846153846
198,3.3846153846153846
199,3.3846153846153846
200,3.3846153846153846
201,3.3846153846153846
202,3.3846153846153846
203,3.3846153846153846
204,3.3846153846153846
205,3.3846153846153846
206,3.3846153846153846
207,3.4615384615384617
208,3.4615384615384617
209,3.5384615384615383
210,3.5384615384615383
211,3.5384615384615383
212,3.5384615384615383
213,3.6153846153846154
214,3.6153846153846154
215,3.6153846153846154
216,3.6153846153846154
217,3.6923076923076925
218,3.6923076923076925
219,3.6923076923076925
220,3.6923076923076925
221,3.6923076923076925
222,3.6923076923076925
223,3.6923076923076925
224,3.6923076923076925
225,3.6923076923076925
226,3.769230769230769
227,3.8461538461538463
228,3.8461538461538463
229,3.8461538461538463
230,3.923076923076923
231,3.923076923076923
232,3.923076923076923
233,3.923076923076923
234,3.923076923076923
235,3.923076923076923
236,3.923076923076923
237,3.923076923076923
238,3.923076923076923
239,3.923076923076923
240,3.923076923076923
241,3.923076923076923
242,3.923076923076923
243,3.923076923076923
244,3.923076923076923
245,3.923076923076923
246,3.923076923076923
247,3.923076923076923
248,4.0
249,4.0
250,4.076923076923077
251,4.076923076923077
252,3.7857142857142856
253,3.7857142857142856
254,3.7857142857142856
